📝 Logging to: logs\run_20260317_182343.log

🎬 Starting run — District: 401 cities | BMS: 579 cities
   Both sources run in PARALLEL (2 threads)
   District: 8 HTTP workers | BMS: 3 workers (fresh driver/city)
   Rate limits: District 5 req/s | BMS 3 req/s
   District: pure HTTP | BMS: Selenium (Cloudflare bypass)


🚀 [District] Starting — 401 cities, 8 parallel workers, 5 req/sec


🚀 [BMS] Starting — 579 cities, 3 parallel workers, 3 req/sec
   Fresh Chrome driver per city (Cloudflare bypass)

   ✅ [District] [65/401] Jammalamadugu   → Kadapa          | Shows: 14  | Gross: ₹437,300   
   ✅ [District] [69/401] Kaikaluru       → Bhimavaram      | Shows: 8   | Gross: ₹898,200   
   ✅ [District] [67/401] Kadapa          → Kadapa          | Shows: 12  | Gross: ₹202,750   
   ✅ [District] [73/401] Kanigiri        → Ongole          | Shows: 1   | Gross: ₹50,000    
   ✅ [District] [72/401] Kandukur        → Ongole          | Shows: 8   | Gross: ₹141,300   
   ✅ [District] [74/401] Kanipakam       → Chittoor        | Shows: 6   | Gross: ₹371,250   
   ✅ [District] [62/401] Jaggampeta      → Kakinada        | Shows: 35  | Gross: ₹3,252,942 
   ✅ [District] [71/401] Kanchikacherla  → Vijayawada      | Shows: 18  | Gross: ₹1,680,100 
   📊 [BMS] Progress: 50/579 cities done
   ✅ [District] [77/401] Kasibugga       → Srikakulam      | Shows: 11  | Gross: ₹658,340   
   ✅ [District] [79/401] Katrenikona     → Amalapuram      | Shows: 7   | Gross: ₹641,100   
   ✅ [District] [80/401] Kavali          → Nellore         | Shows: 3   | Gross: ₹185,900   
   ✅ [District] [70/401] Kakinada        → Kakinada        | Shows: 36  | Gross: ₹3,399,740 
   ✅ [District] [83/401] Konithiwada     → Bhimavaram      | Shows: 3   | Gross: ₹335,600   
   ✅ [BMS] [56/579] Dowlaiswaram    → Rajahmundry     | Shows: 5   | Gross: ₹311,900   
   ✅ [District] [64/401] Jami            → Vizianagaram    | Shows: 51  | Gross: ₹2,420,285 
   ✅ [District] [86/401] Kothacheruvu    → Anantapur       | Shows: 1   | Gross: ₹5,400     
   ✅ [BMS] [57/579] Draksharamam    → Kakinada        | Shows: 1   | Gross: ₹200,000   
   ✅ [District] [75/401] Kankipadu       → Vijayawada      | Shows: 38  | Gross: ₹2,390,950 
   ✅ [District] [85/401] Kotabommali     → Srikakulam      | Shows: 17  | Gross: ₹347,520   
   ✅ [District] [89/401] Krosuru         → Guntur          | Shows: 1   | Gross: ₹41,500    
   ✅ [District] [84/401] Kota Nellore    → Nellore         | Shows: 22  | Gross: ₹1,150,700 
   ✅ [BMS] [62/579] Eluru           → Eluru           | Shows: 3   | Gross: ₹391,900   
   ✅ [District] [90/401] Kuppam          → Chittoor        | Shows: 2   | Gross: ₹106,800   
   ✅ [District] [78/401] Kathipudi       → Kakinada        | Shows: 41  | Gross: ₹3,743,445 
   ✅ [District] [81/401] Kodumur         → Kurnool         | Shows: 30  | Gross: ₹1,493,120 
   ✅ [District] [87/401] Kothapeta       → Rajahmundry     | Shows: 22  | Gross: ₹2,095,505 
   ✅ [District] [88/401] Kovvur          → Rajahmundry     | Shows: 11  | Gross: ₹910,735   
   ✅ [District] [96/401] Madanapalle     → Madanapalle     | Shows: 1   | Gross: ₹134,000   
   ✅ [District] [93/401] Lakkavaram      → Amalapuram      | Shows: 4   | Gross: ₹323,275   
   ✅ [BMS] [65/579] Gajapathinagaram → Vizianagaram    | Shows: 5   | Gross: ₹52,890    
   ✅ [District] [95/401] Machilipatnam   → Vijayawada      | Shows: 6   | Gross: ₹702,000   
   ✅ [District] [94/401] Macherla        → Guntur          | Shows: 10  | Gross: ₹259,300   
   ✅ [District] [55/401] Guntur          → Guntur          | Shows: 103 | Gross: ₹4,788,772 
   ✅ [District] [99/401] Malikipuram     → Amalapuram      | Shows: 8   | Gross: ₹723,600   
   ✅ [District] [104/401] Medarametla     → Ongole          | Shows: 1   | Gross: ₹24,500    
   ✅ [District] [100/401] Malkipuram      → Amalapuram      | Shows: 7   | Gross: ₹525,000   
   ✅ [District] [98/401] Madugula        → Visakhapatnam   | Shows: 12  | Gross: ₹719,697   
   📊 [District] Progress: 100/401 cities done
