Total mappings: 1275

  41 | MDDC  |    20936 |   0.002km | ns=1.000 | Miraj Cinemas: Vikas Cinemall, Shahdara              <-> Miraj Cinemas : Vikas Cinemall, Shahdara
  42 | MRRC  |    10210 |   0.002km | ns=1.000 | Miraj Cinemas: I-Nok Mall, Raichur                   <-> Miraj Cinemas : I-Nok Mall, Raichur
  43 | PGFD  |  1022307 |   0.002km | ns=1.000 | PVR: Global Mall, Mysore Road, Bengaluru             <-> PVR Global Mall, Mysore Road, Bengaluru
  44 | MIDO  |     9609 |   0.002km | ns=1.000 | Miraj Cinemas: Dombivali (E)                         <-> Miraj Cinemas : Dombivali (E)
  45 | MBDC  |  1022927 |   0.002km | ns=1.000 | Miraj Cinemas: Blue Diamond Mall, Calicut            <-> Miraj Cinemas : Blue Diamond Mall, Calicut
  46 | INRJ  |  1023394 |   0.002km | ns=1.000 | INOX: Reliance Mall, Jalandhar                       <-> INOX Jalandhar Reliance Mall, Reliance Mall, Jalandhar
  47 | KKMA  |  1093582 |   0.002km | ns=1.000 | The Cine Station: Silvassa                           <-> The Cine Station, Silvassa
  48 | SVFB  |  1102189 |   0.002km | ns=1.000 | SVF Cinemas: Baruipur Show House, Baruipur           <-> SVF Cinemas : Baruipur Show House, Baruipur
  49 | PZVK  |  1022273 |   0.002km | ns=1.000 | PVR: Vaishnavi Sapphire Mall, Yeshwanthpur           <-> PVR Vaishnavi Sapphire Mall, Yashwantpur, Bengaluru
  50 | IRMR  |  1030077 |   0.002km | ns=1.000 | INOX: Reliance Mega Mall, Rajkot                     <-> INOX Reliance Mega Mall, Reliance Mall, Rajkot
  51 | CPCL  |      126 |   0.002km | ns=1.000 | Cinepolis: CCPL Mall Malkajgiri, Hyderabad           <-> Cinepolis CCPL Mall, Malkajgiri, Hyderabad
  52 | GDCV  |  1037424 |   0.002km | ns=1.000 | Gold Cinema: Vidisha                                 <-> Gold Cinema, Vidisha
  53 | PGHM  |  1019928 |   0.002km | ns=1.000 | PVR: Grand Highstreet Mall, Hinjawadi                <-> PVR Grand Highstreet Mall, Hinjawadi, Pune
  54 | MCHR  |     7434 |   0.002km | ns=1.000 | Miraj Cinemas:Eminent Mall,Hisar (Newly Renovated)   <-> Miraj Cinemas : Eminent Mall, Hisar (Newly Renovated)
